TO DO,KK,AK,MM
frontend food.html,,,
food.html abecedně,,,
vyzkoušet data_scraping.py,,,
vložit search bar pro food,x,,
vložit search bar pro recipes,x,,
vložit search bar pro blog,x,,
doplnit data_scraping.py o vyhledávací pole,,,
kompletovat data_scraping.py a search bar,,,
vyzkoušet amount u recipes a případně upravit,x,,
"celodenní příjem usera formulář, modely",,,
celodenní příjem usera html a frontend,,,
"recepty forms, models",x,,
recepty html,x,,
sum nutrition values of recipe's ingredients,,,